MENSAJES;POLARIDAD
No olviden dejar sus comentarios, gracias.;Positivo
Sergio, gracias por la solución compartida! Sería importante, conocer el criterio de los demás integrantes del equipo y que lleguen a contestar la pregunta planteada en el puzle,¿dónde vive la Zebra y en qué casa beben ellos agua?;Positivo
Estimado Sergio. Excelente tu aporte, muchas gracias por tu preocupación... entiendo la codificación, pero por favor podrías describirme enn palabras esta línea;Positivo
{1 = n [n ¬ a] <-- ᴧ[ k = y] ᴧ [ k ¬ c] <-- y = z + x};Positivo
En la primera casa vive el noruego, el noruego no vive en la casa azul, ( ᴧ)y los kools son fumados en la casa amarilla,(ᴧ) y los kools no son fumados en la casa del caballo, en la casa amarilla hay un zorro aquí beben agua. Entonces al realizar el proceso de la restricción y hacer la negación no se cumple con lo solicitado se produce (<--) vuelta atrás regresando al lugar hasta donde se cumple de forma correcta la restricción y le agregamos la siguiente restricción hasta ubicar todos los objetos en las instancias establecidas de esa forma se cumple con lo requerido.;Positivo
Haciendo uso del algoritmo se resuelve mad fácilmente.... Considero que se debe identificar y definir las restricciones como usted lo ha hecho.;Positivo
Interesante la solución, aunque no le he probado peros estoy seguro que para dar con la solución lo primero que debemos realizar es definir las variables sobre las que vamos a trabajar. Y personalmente podríamos probar traduciendo las restricciones a números. Eso nos lleva a que una vez hecha la traducción cada variable podrá tomar valores entre 0 y 4, como las casas;Positivo
"Compañeros, a continuación les comparto una parte de como fui analizando el ejercicio y tratando de encontrar la respuesta:
Distribuimos la información:

Nacionalidad: Inglés – Español – Noruego – Ucraniano – Japonés
Color de Casa: Roja – Amarilla – Azul – Verde – Marfil
Animal Dome: Perro – Zorro – Caracoles – Caballo
Bebida: Zumo de Naranja – Té – Café – Leche
Cigarrillo: Kools – ChesterFields – Winston – Lucky Strike – Parliaments

Anotamos lo datos que son declarados:

Inglés – Casa Roja
Español – Perro
Noruego – Primera Casa Izquierda – A lado casa Azul
Ucraniano – Té
Japonés – Parliaments
Leche – Casa de en medio
Kools – casa Amarilla
Fumador Winston – Posee Caracoles
Fumador Luxky Strike – Bebe Zumo de Naranja
Kools – casa posee caballo
Café – Casa verde
Casa Verde – Derecha Casa Marfil
Leche – Bebida casa del medio.

El Noruego vive en la primera casa, entonces no bebe leche y el té lo bebe Ucraniano
entonces le queda sólo Café, Zumo de Naranja o Agua
El Noruego vive en la primera casa de lado izquierdo, entonces no vive en verde, tampoco en la Marfil
y como vive a lado de la casa azul, le queda sólo la Amarilla. Ya que el Inglés vive en la casa Roja
Y como sabemos que los Kools son fumados por la casa Amarilla y los Lucky Strike son fumados
por la casa que bebe zumo de naranja. Entonces el noruego no bebe zumo de naranja y bebe agua

Ahora podemos cambiar el orden de la tabla por el tipo de color y así determinar la ubicación de la leche y la ubicación de la casa del Inglés ya que es el único color que falta de ubicar.";Positivo
Gracias Elvis, observemos ¿qué dicen sus compañeros?;Positivo
"Que tal compañero, considero que todas las soluciones que hemos propuesto son correctas debido a que cumplen con los hechos... La cuestión es en este punto ""La casa verde esta inmediatamente a la derecha (su derecha) de la casa del color marfil."".... Debido a que da par interpretaciones... En lo personal independientemente de la posición que se coloque la casa verde y la de marfil se llega a la misma solución.... Qué piensa usted ?";Positivo
Saludos compañero si estamos de acuerdo que la solución esta correcta y da lo mismo cambiar las posiciones de la casa verde y marfil pero solo que hay una restricción que se debe tomar en cuenta y respetar que es, la casa marfil esta a la derecha, si y solo si la verde esta a la izquierda.;Positivo
Compañeros, esa es una interrogante que debemos buscar la forma de darle una explicación más satisfactoria, coincidimos que estamos en lo correcto.;Positivo
Sergio Campoverde ha compartido un enlace.;Positivo
Gracias compañero por subir la solución del trabajo colaborativo.... Pero falta los nombres de todos los que participamos.;Positivo
compañeros buenas noches, estamos en la ultima semana de entrega del diario final, por favor analicemos nuestras respuestas para poder realizar un solo documento de parte de grupo 2;Positivo
Comañero buenas noches, hasta hoy hay que entregar unos formularios: Autoevaluación, Coevaluación y Diario Personal 3era entrega y Entrega Final... es correcto en mi página la fecha máximo es hasta hoy.. es correcto? además dentro del formulario de la Autoevaluación aparece un elemento a evaluar en el que hace referencia ya a la entrega del resultado en equipo.;Positivo
así que hay que subir todos esos formularios hoy.;Positivo
Entonces comencemos compas;Positivo
en la pregunta 1 creo que todos llegamos a la misma respuesta;Positivo
Así es Compa.;Positivo
saben si todos compartieron las respuestas??? para la pregunta 2;Positivo
Es lo que no entiendo.. como sabemos si todos respondieron y subieron sus respuestas. al menos yo si lo hice.;Positivo
e hice sugerencias (al menos 3);Positivo
lo que si no hice fue haber citado alguna fuente bibliográfica.;Positivo
se me pasó por alto.;Positivo
Yo si revise las respuestas de todos y todos coincidimos con las respuestas;Positivo
Si yo también revise las mayorías, pero no tengo el listado para saber si son todos.;Positivo
Les parece??;Neutro
Considero que es lo más correcto, gracias.;Positivo
Les parece si completamos los nombres en el archivo que está en google drive;Positivo
Claro... lo hacemos con los que están en el grupo!;Positivo
me parece los mas justo;Neutro
El drive está compartido para que los podamos modificar?;Positivo
"Compa al tratar de subir la Coevaluación me aparece este mensaje: ""Coloque aquí las evaluaciones realizadas a cada uno de los integrantes de su grupo."" con esto considero que la coevaluación es a cada uno, en un formulario diferente, pero en un solo archivo.";Positivo
"Yo entiendo que una Coevaluación es la evaluación de cada integrante del grupo por separado, que puede estar en un mismo archivo, si; pero es la evaluación que le hago a cada uno de mis compañeros, en este caso a ustedes del grupo.";Positivo
Danilo Freire ha subido un archivo.;Positivo
Danilo Freire ha subido un archivo.;Positivo
Danilo Freire ha compartido un enlace.;Positivo
Danilo Freire ha subido un archivo.;Positivo
Buenos días compañero excelente trabajo, también tuve la idea de hacerlo en java pero con esto es mas que perfecto.;Positivo
Miguel Moreno ha subido un archivo.;Positivo
Compas, le dejamos asi?;Positivo
Pienso que sí, pero ese mismo documento debe estar compartido en el Drive.;Positivo
Claro, pero para tener los 8 comentarios antes de subirlo;Positivo
ok.. entonces debemos esperar los comentarios de los demás compañeros.;Positivo
De momento voy a subir mi Autoevaluación, mi Coevaluación y el diario personal entrega final.;Positivo
estoy de acuerdo compañeros yo lo veo muy bien asi;Positivo
Que bueno compa, esperemos más aportes.;Positivo
Sobre todo el de Sergio.;Positivo
Compas, que alguien me ayude. la Coevaluación es a cada uno de ustedes? y la envío en un sólo archivo PDF? o es uno general?;Positivo
La coevaluación Es una sola por todo el grupo, la autoevaluación es por cada uno;Positivo
Elvis, la coevaluación es a cada uno de los integrantes del grupo y la envía en un sólo archivo y la autoevaluación es su evaluación.;Positivo
Es correcto Tutora, luego lo analicé bien y recordé y así lo hice. la entrega ya la hice anoche. muchas gracias.;Positivo
Esta perfecto lo que creo deben añadir es el aporte del algoritmo del compañero Danilo Freire;Positivo
Saludos estimados compañeros en esta semana les invito a dejar su comentario para hacer un cambio en el documento, para publicarlo nuevamente en google drive esta vez con el seudocodigo en scrip del compañero Danilo Freire.;Positivo
Compañeros no olviden comentar.;Positivo
Listo Compañero, voy a analizarlo y hasta el miércoles o jueves hago mi aporte.;Positivo
Es un gran aporte, se lo debe incluir... Lo estoy analizando compañeros;Positivo
"la tutora ha enviado esto al correo:
En la tarea del segundo bimestre le pido de manera especial, suban la solución del puzzle con los nombres de las personas que intervinieron en su solución.";Positivo
Cada uno debemos subir el mismo archivo o solo el compañero que creo está página?;Positivo
¡Hola, muy buenas noches! Sería mejor que cada uno suba el archivo. ¡Gracias infinitas!;Positivo
Sergio Campoverde ha compartido un enlace.;Positivo
El enlace es: https://drive.google.com/.../1H3WRb3S6Imb.../view…;Neutro
Saludos estimada docente la notificación del ejercicio porque medio se la hacemos llegar por favor indiquemos.;Positivo
Quedo excelente compañeros;Positivo
¡Muy bien! misión cumplida;Positivo
Compañeros, comparto el comentario de Miguel Moreno quedó excelente.;Positivo
👏👏👏;Positivo
😀😀😀;Positivo
me hubiese gustado que el documento lleve una caratula o un logotipo de la universidad;Positivo
Cindy Torres Jiron ha creado el grupo G4C-2B-V2-PA1617.;Positivo
Buenas noches compañera;Positivo
Les comento que yo tenia correo en google pero no habia utilizado la aplicación Google Drive;Positivo
buenas noches compañero como le va;Positivo
Ya he compartido una carpeta y varios archivos que utilizo en mi trabajo y me resulta muy util pues no necesito llevar una memoria con mis archivos;Positivo
Bien gracias estimada lideresa;Positivo
gracias compañera;Positivo
le comento que yo no tenia esa aplicación tuve varios problemas para instalarlo en mi computadora pero lo logre y ya guarde varios archivos en la aplicación e incluso cree una carpeta tal como las indicaciones de la tutora;Positivo
Con que nombre hay que crear la carpeta?;Positivo
queridos compañeros no dice exactamente el nombre, ya que en la folleto dice (cree una carpeta con archivos en su cuenta www.dropbox.com o google drive.;Positivo
El día de mañana voy a usar la hoja electrónica;Positivo
Compañera: No comprendo a que se refiere;Negativo
la solución de la Actividad Recomendada.;Positivo
compañero estoy contestando a su pregunta, la tutora no especifica el nombre de la carpeta;Positivo
ok yo me refiero a la actividad que dice la hoja de ruta que debemos realizar;Positivo
si compañero es lo mismo puede poner el nombre que prefiera;Positivo
En la definición del trabajo a realizar la solución de la Actividad Recomendada.en un documento en grupo;Positivo
Bueno estimadas compas, estaré pendiente de cualquier información.;Positivo
pasen bien estimados compañeros;Positivo
Compañeras, están por alli?;Positivo
Muy bien compañeros.;Positivo
Marcos Solis ha subido un archivo.;Positivo
Marcos Solis ha subido un archivo.;Positivo
Marcos Solis ha actualizado la foto de portada del grupo.;Positivo
¡Hola, muy buenas noches! gracias por aprobar mi solicitud.;Positivo
hola querida tutora buenas noches;Positivo
Eder Romulo Lozano ha creado el grupo Grupo7-IA-18-19.;Positivo
Amigos saludos;Positivo
Saludos compañerito!;Positivo
Bien compañeros a trabajar por el grupo;Positivo
Asi es!;Positivo
Alexandre Varg ha subido un archivo.;Positivo
"ejercicio 5.13
el agua se bebe en la casa amarilla y la zebra vive en la casa verde";Positivo
Amigos les comparto mi solución al ejercicio propuesto del texto base de inteligencia artificial;Positivo
https://m.facebook.com/photo.php?fbid=2116440561739729&id=100001214161482&set=gm.363458631073596&source=57&refid=18&__tn__=EH-R;Neutro
David Pazmiño ha subido un archivo.;Positivo
Eder Romulo Lozano ha subido un archivo.;Positivo
amigos buenas noches para crear una nueva imagen de nuestro grupo propongo que cada uno aporte con ideas y elijamos un formato porfa para no estancarnos que les parece;Positivo
Se refiere a la portada compañero ?;Positivo
claro que si amigo;Positivo
bajemos lienzos;Positivo
y que cada uno proponga ideas;Positivo
pero si alguien ya tiene la imagen favor compartirla;Positivo
una sugerencia de imagen;Positivo
si porfa amigos;Positivo
Eder Romulo Lozano ha actualizado la foto de portada del grupo.;Positivo
Amigos una consulta la tutora y está agregada al grupo???;Positivo
No, creo que deben abrir el candadito que está cerrado para poder agregar a la tutora!. Compañero líder, ayúdenos con el requerimiento de la tutora.;Positivo
Porfa amigos hay que enviarle la invitación;Positivo
A la tutora;Neutro
La tutora ya esta en el grupo compañeros.;Positivo
Angel Suriaga ha subido un archivo.;Positivo
Giovanny Pinargote ha subido un archivo.;Positivo
Hola compañeros, comparto mi solución al ejercicio en el presente adjunto. Saludos👋;Positivo
Gracias por compartir la solución del ejercicio al grupo, es preciso que todos opinen de las soluciones presentadas, para que elaboren la solución definitiva.;Positivo
Al desarrollar el ejercicio es importante que todos tenga claro las variables, el dominio y sobre todo las restricciones. Con esto se les facilita ir construyendo la tabla de valores que indicará las relaciones de las variables. Así mismo, recuerden que entre todos deben elaborar una única solución del puzle.;Positivo
Su solucion compañero estuvo muy buena felicitaciones.;Positivo
Concuerdo con su solución pues la zebra vive en la casa 5 y se bebe agua en la primera casa. Se puede evidenciar que se tomaron en cuenta todas las restricciones.;Positivo
Asie es amigo solo una consulta cual fue su estrategia para llegar a la solucion???;Positivo
Bueno les contare en mi caso personal lo primero que hice fue buscar los colores de cada casa;Positivo
"En mi caso se procedio a realizar el problema 5.13 usando un sistema de redes semanticas y sistemas de mantenimiento de la verdad; adicionando un sistema de comparacion por color para un mejor entendimiento.";Positivo
Amigos debemos realizar un intercambio de ideas sobre el porque llegamos a la solución del ejercicio 5.13;Positivo
Les recuerdo que todos deben compartir las soluciones personales del puzle.;Positivo
Asi es estimada tutora;Positivo
Eder Romulo Lozano ha subido un archivo.;Positivo
"Resolucion del ejercicio.
Solucion: Los noruegos beben agua en la casa amarilla, peimera casa, y la zebra esta en la quinta casa.";Positivo
Compañeros, en base a este cuadro vamos opinando de como cada uno resolvio el ejercicio con el fin de hacer el documento en conjunto para entregar con todos los integrantes;Positivo
Como dice el compañero David Pazmiño la zebra vive en la nacionalidad japonesa y donde van a beber es a la nacionalidad noruega primera casa. att: Juan Josue Cedeño Romulo;Positivo
UBICACIÓN DE CASA SEGÚN EL COLOR;Positivo
"UBICACIÓN DE LAS PERSONAS EN CADA CASA SEGÚN SU NACIONALIDAD, BEBIDA, ANIMAL, Y EL TIPO DE CIGARRO QUE FUMA
Una vez que ubicamos las casas según su color y en base al problema procedemos a ubicar a las personas
Tenemos cinco personas con diferentes nacionalidades
En primer lugar nos dice que el inglès vive en la casa roja
El noruego vive en la primera casa a la izquierda ósea la casa color amarillo
Nos faltan 3 personas por ubicar seguiremos analizando el problema, al no contar con indicios que nos guíen para la ubicación de cada persona no basaremos en otros indicios que nos pueden ayudar a resolver la ubicación.
NOS BASAMOS EN EL TIPO DE CIGARRILLOS QUE CADA UNO FUMA
Nos Dice Que La Marca De Cigarrillos Kools Se Fuman En La Casa Amarilla
AHORA SEGUIMOS ANALIZANDO CON EL ANIMAL DOMESTICO QUE CADA UNO POSEE
Nos Dice Que Los Cigarrillos Kools Son Fumados En La Casa Junto A La Casa Donde Se Guarda El Caballo, Como Sabemos Esta Marca Se Fuma En La Casa Amarilla, Por Lo Tanto El Caballo Pertenece A La Casa Color Azul
El español tiene perro. Puede estar en la casa 4 o 5. Por ensayo se coloca en la casa 4.
El noruego es quien posee el zorro
SEGUIMOS CON LAS BEBIDAS
Nos dice que el café se bebe en la casa verde
La leche se bebe en la casa del medio ósea la casa de color rojo
El ucraniano toma te lo colocaremos en la columna 2
SOLO NOS QUEDA UNA COLUMNA VACIA LA CASA VERDE EN DONDE AGREGAREMOS A LA PERSONA CON NACIONALIDAD JAPONESA";Positivo
"PARA TERMINAR DEBEMOS COLOCAR LA MARCA DE CIGARRO QUE CADA UNO FUMA Y EL ANIMAL QUE CADA UNO TIENE
El Hombre Que Fuma Chesterfields Vive En La Casa Al Lado Del Hombre Con El Zorro
El Japonés Fuma Parliaments
el siguiente enunciado es importante por cuanto hace referencia al animal que cada uno posee, en base al cigarro que fuma debido a que las únicas columnas vacias son la casa roja en la cual no tiene una marca de cigarros agregada, pero tampoco la casa color marfil, sin embargo en esta casa la mascota ya se encuentra agregada, por lo tanto la única solución es que este enunciado:
El Fumador De Winston Posee Caracoles
Se ubique en la casa roja al ser la única que no tiene ninguna de los 2 items asignados
Por último nos queda el último enunciado que dice
El fumador de lucky strike bebe zumo de naranja, que se ubica en la columna color marfil ose en la columna del español";Positivo
En donde se bebe agua es en la casa amarilla, y la zebra vive en la casa color verde;Positivo
Muy buena explicacion desde el punto de vista de las casas y no tomando desde las nacionalidades compaero Josue Luis S M esta muy bien eso. Felicitaciones;Positivo
Coincido con su idea, lo principal es comenzar por saber donde ubicar los colores en las respectivas casas, su explicacion esta muy bien detallada;Positivo
De mi parte he tomado como referencia inicial al noruego y el color de su casa y luego los demás colores;Positivo
Compañeros sugiero que comentemos de los pasos que hicimos para la resolucion del ejercicio, para que quede como un registro y tambien nos sirva para hacer el documento final que debemos de entregar de manera grupal;Positivo
"Análisis del problema 5.13 de inteligencia artificial
En lo personal busco patrones que me permitan dar con la solución
En primer lugar busco todas las personas con una casa con un color fijo
Nos dice que el inglès que vive en una casa roja
Nos dice que los cigarrillos kools se fuman en la casa amarilla
Otro indicio nos dice que el noruego vive al lado de la casa azul
Otro indicio nos dice que el te se bebe en la casa color verde
Por último nos dice que la casa verde esta a la derecha de la casa color marfil
Así tenemos cinco colores década casa
TENEMOS CASAS DE COLOR ROJO, AMARILLO, AZUL, VERDE, Y MARFIL";Positivo
Amigos como están buenas tardes por favor compartir la resolución del problema de tal forma que entre todos entreguemos en resultado en conjunto;Positivo
Sagba Luis Josue ha subido un archivo.;Positivo
Felicitaciones compañero Josue Luis S M propongo que esta solucion sea tomada como la mejor del grupo que dicen compas.;Positivo
Muy bien fundamentada, se lo puede tomar para el ejercicio general del grupo que hay que subir a la nube segun especifica el pdf que nos dio la tutora;Positivo
Amigos de una forma especial por favor que les parecio el ejercisio;Positivo
Cual fue la parte mas complicada con la cual se toparon;Positivo
"al estar la informacion desorganizada se vuelve muy tedioso realizar la solucion del ejercicio pero asi son los puzzle y hay que ir con paciencia hasta encontrar la respuesta. Saludos
Att: Juan Cedeño Romulo";Positivo
de verdad que si amigos;Positivo
pero logramos llegar a esta solucion de forma conjunta gracias a todos;Positivo
Por mi parte les comento que estaba muy dificil encontrar la solucion;Positivo
En mi caso me encontre un poco confuso despues de colocar los colores de las casas y las nacionalidades, llega a un punto que hay que probar con los cigarrillos si pertenece a una casa u otra;Positivo
Creo que la mayoría nos topamos con este problema, ya que a partir de el punto al cual se refiere mi estimado compañero Angel Suriaga los indicios para realizar la solución son muy vagos y difíciles de encontrar;Positivo
Josue Luis Sagba Error mio, me referia al perro del español que no habia mas informacion de el, al no saber donde pertenece, tocaba hacer prueba y error para saber a que casa le toca;Positivo
Asi es compañero toco hacer esa prueba, ya que el español bien pudo estar en la casa verde o en la casa azul;Positivo
Animo amigos nadie dijo que sería fácil, ahora solo nos queda llegar a estar de acuerdo en la solución si alguno de nuestros amigos del grupo tiene alguna sugerencia , por favor que la comente será bienvenida cualquier aporte al grupo;Positivo
Josue Luis Sagba en lo que confiere pienso ,que se debe hacer una tabla por cada literal solucionado . Explicando la solución.;Positivo
"Con lo que respecta a mi caso, analice todos literales en busca de la mejor alternativa, es decir mejor pista que solo podría tener una variable para empezar el ejercicio Por ejemplo ya he tomado el literal ""El noruego vive en la primera casa a la izquierda"" .";Positivo
"6 El inglés vive en la casa roja.
12 El español posee el perro.
1 El noruego vive en la primera casa a la izquierda
7 Los Kools son fumados en la casa amarilla.
El hombre que fuma Chesterfields vive en la casa al lado del hombre con el zorro.
2 El noruego vive al lado de la casa azul.
13 El fumador de Winston posse caracoles.
8 El fumador de Lucky Strike bebe zumo de naranja.
9 El ucraniano bebe el té
11 El japonés fuma los Parliaments.
10 Los kools son fumados en la casa al lado de la casa donde se guarda el caballo.
5 El café es bebido en la casa verde.
4 La casa verde esta inmediatamente a la derecha (su derecha) de la casa de color marfil.
3 La leche es bebida en la casa del medio
Estos literales están enúmerados de acuerdo al orden de solucione a mi criterio .";Positivo
La verdad es que al inicio y personalmente, cuando se inicia por la identificación de los colores de cada casa y las nacionalidades, como que se hace fácil resolver el ejercicio, pero a medida que se avanza se necesita de todos los literales para encontrar la solución de cada columna es lo que me sucedió.;Positivo
A pesar de todo creo que la mayoría concuerda con la misma solución, creo yo verdad??;Positivo
Josue Luis Sagba eso es verdad, todos concordamos con la solución.;Positivo
Esta seria la solución al problema ya que todos llegamos a la misma conclución.;Positivo
Concuerdo con su solución pues la zebra vive en la casa 5 y se bebe agua en la primera casa. Se puede evidenciar que se tomaron en cuenta todas las restricciones.;Positivo
"En mi caso se procedio a realizar el problema 5.13 usando un sistema de redes semanticas y sistemas de mantenimiento de la verdad; adicionando un sistema de comparacion por color para un mejor entendimiento.";Positivo
Yo en cambio me confundí por varias ocasiones en ordenar los colores en las respectivas casas, ya que no sabía si la casa color marfil era la número 3 o la número 4.;Positivo
De poco a poco y utilizando el sistema de comparación por color se logra resolver el problema;Positivo
Amigos mi aporte sobre la solución de trabajo grupal;Positivo
Angel Suriaga ha subido un archivo.;Positivo
Eder Romulo Lozano ha compartido un enlace.;Positivo
Gracias a todos y s ustedes líderes de grupo por el trabajo final 👏👏;Positivo
Quedó excelente;Positivo
Muy bien 👍;Positivo
Me parece que el desarrollo del trabajo ha sido todo un éxito, agradezco los esfuerzos realizados, sobre todo a nuestro líder de grupo.;Positivo
Asi es amigos gracias a todos;Positivo
realmente que les parecio la interaccion entre todos los compañeros;Positivo
Compañeros aun se puede ajustar aun mas la sulucion, para eso los hacemos desde el 7 al 13;Positivo
claro que si amigos;Positivo
Felicitaciones Compañeros por un trabajo grupal exitoso.;Positivo
Compañeros buenas noches para acceder al google drive y ver el documento grupal esta es la cuenta de Google Drive( https://drive.google.com/drive/ ) y su contraseña es:Grupo71819 att Juan Cedeño Romulo;Positivo
Muchas gracias compañero..;Positivo
Hola compañeros, les dejo un enlace muy interesante (https://educrea.cl/solucion-al-acertijo-de-einstein/);Positivo
recuerden comentar sobre el ejercisio compañeros;Positivo
el ejercicio ha sido resuelto entre todos y todos han estado de acuerdo en la forma que se llego a un solo formato;Positivo
Exacto 👍;Positivo
El archivo a sido consolidado y verificado por cada miembro del grupo.;Positivo
Saludos;Positivo
Todos los miembros del grupo se encuentran incluidos en la portada del documento a entregar a la tutora;Positivo
Melany PPnda ha creado el grupo GRUPO 7.;Positivo
compañeros que actividad debemos realizar;Positivo
compañera primero debemos realizar de manera personal la practica 9 que se encuentra en el doc. práctica procesador de palabra.;Positivo
adicional compañeros para hacer un aporte con los pasos que se debe seguir para colocar encabezado y pie de página a un documento de word.;Positivo
compañeros como inserto numero de pagina sin que pie de pagina se elimine;Negativo
compañera en el icono que nos muestra la opcion de pie de página hay una opción que puede elegir para ingresar o insertar un pie de pag. y el nro;Positivo
"si compañera,en la opción que dice pie de pagina entre lasque aparecen se muestra la que dice ""alfabeto"",en esa puede usar para que inserte texto alguno y con su numeración resspectiva para cada hoja.";Positivo
muchas gracias compañeros…;Positivo
hey compañeros buenas tardes, como vamos con ese trabajo ?;Positivo
Kerly Molina ha compartido un enlace.;Positivo
compañeros aqui les dejo una explicacion sobre vista preliminar de un texto;Positivo
Kerly Molina ha compartido un enlace.;Positivo
Jonathan Leyes ha subido un archivo.;Positivo
Xavier Tama ha creado el grupo GRUPO 2.;Positivo
En efecto, compañero. También había enviado un correo a la profesora para que se pueda unir al grupo. Si tienen su contacto de Facebook para poder añadirla, mucho mejor.;Positivo
La solución hay que compartirla en el grupo, Juan Pablo.;Positivo
No voy a alcanzar sino hasta la 1-2 compañero.;Negativo
Claro, adelante;Positivo
Walter Fabián Mora Cobo ha subido un archivo.;Positivo
Eso estaría en el Entorno del agente.;Positivo
Estimado Xavier, favor tu ayuda con la organizaciòn del Grupo;Positivo
Estimado Walter, he invitado a los otros compañeros al grupo, pero aún no se han unido. Hasta mientras avancemos entre los dos. En un rato subiré mi contribución del REAS.;Positivo
Ok Xavier;Positivo
Jimmy Aguilera ha creado el grupo GRUPO Nº 9 COMPUTACION UTPL.;Positivo
compañero ya localizo a la otra compañera integrante de este grupo?;Positivo
Jimmy y tambien tienes que enviarle el link de este grupo via correo a la tutora este es su mail dijara@utpl.edu.ec;Positivo
Y despues de eso debemos trabajar para el documento que irian los pasos a seguir;Positivo
Gema Santana ha creado un documento.;Neutro
TENEMOS QUE TRABAJAR EN ESTE DOCUMENTO APORTANDO IDEAS PARA CREAR UN SOLO TRABAJO;Positivo
iniciemos con el primer paso;Positivo
primero comenzamos entrando a word y damos clic en la palabra insertar;Positivo
Digitamos un texto y configuramos los margenes;Positivo
asi es;Neutro
uno vez que esta hecho eso procedemos a editar el encabezado y pie de pagina;Positivo
nos vamos a la opcion insetar y nos aparecera un cuadro que dira encabezado y pie de pagina y daremos clic en el estilo que deseemos;Positivo
Cambiamos la fuente del documento;Positivo
LUEGO ESCRIBIMOS LO QUE VA APARECER COMO ENCABEZADO Y DAMOS CLIC EN CERRAR ENCABEZADO Y PIE DE PAGINA;Positivo
Hacemos una vista preliminar del texto;Positivo
OK AHI QUE HACER UN RESUMEN DE ESTO;Positivo
TENEMOS QUE LLEGAR A UNA SOLA IDEA;Positivo
AHI QUE TOMAR ESTAS IDEAS Y HACERLA UNA SOLA;Positivo
Luego insertamos el numero de pagina;Positivo
Y PROCEDEMOS HACER ESO DE ACUERDO A COMO LO QUEREMOS A SOLO UNA PAGINA O A TODO EL DOCUMENTO;Positivo
Jimmy Aguilera ha actualizado la foto de portada del grupo.;Positivo
para poner el pie de pagina los pasos a seguir son muy similares a los del encabezado;Positivo
estos pasos los ponemos en word y lo subimos aqui en el grupo de facebook o se lo mandamos por correo a la profesora? ´porque por lo que lei dice 5 de noviembre subida del dcto al eva,;Positivo
esperemos que responda la profesora al mensaje que le preguntantes para poder subir el trbajo;Positivo
compañero aquí le dejo el link que le habia dejado por interno https://support.microsoft.com/es-es/office/insertar-un-encabezado-o-pie-de-p%c3%a1gina-b87ee4df-abc1-41f8-995b-b39f6d99c7ed?redirectSourcePath=%252fes-es%252farticle%252fInsertar-encabezados-y-pies-de-p%25c3%25a1gina-f22334fb-4455-4b18-9354-7c9c70c3b032&ui=es-ES&rs=es-HN&ad=419;Positivo
Compañera ya lei la informacion del link que me envio;Positivo
ok este es el mismo link que te habia enviado en mesenger;Positivo
Claro me sirvio de mucho para aprender;Positivo
ok compañero estamos muy bien entonces;Positivo
¡Muy buenas noches! FELICITACIONES esta linda la portada;Positivo
Muchas gracias licenciada;Positivo
Vero Agurto ha creado el grupo Grupo Nro. 6.;Positivo
Lizbeth Chele ha actualizado la descripción.;Positivo
compañera esta enviado un mensaje al eva de los compañeros pero lamentablemente no responden;Positivo
Y ahora como hacemos el trabajo si los compañeros no responde nada;Positivo
Compañero le recuerdo q tenemos que aportar todos para realizar el trabajo, no olvide chequear bien el documento del eva en el que se encuentran las indicaciones del trabajo;Positivo
"Bueno compañeros me presento mi nombre es Verónica Agurto sigo la carrera de Administración en Banca y Finanzas y soy de la ciudad de Quito, en esta ocasión seré la líder del presente grupo para el trabajo de computación, espero de la mayor colaboración de parte de ustedes.

como es de su conocimiento he tratado de ponerme en contacto lo mas rápido posible con todos y pues esperemos que el compañero que falta se integre lo mas pronto al grupo.

lo que primero debemos hacer es estar mas en contacto y pues elegir el o la secretaria del grupo. Recordemos que están en juego dos puntos extras para nuestra calificación y para lograrlo debemos trabajar en equipo.

estaré pendiente de sus comentarios y sugerencias para desde ya iniciar con la elaboración del trabajo

saludos cordiales";Positivo
"Buenas noches estimados compañeros y profe
De igual manera me presento, me llamo Juan Carlos Caluguillin, para mi es un gusto poder trabajar con ustedes, igual soy de la cuidad de Quito y sigo Administración en Banca y Finanzas, estoy dispuesto a dar todo de mi para que saquemos el mejor provecho de esta oportunidad que nos brinda la profe de trabajar juntos.
Entonces estamos en contacto para ver como seguimos con el trabajo
Buena noche";Positivo
"Buenas tardes con todos me llamo Lizbeth Chele soy de la provincia de Orellana estudio la carrera de Educacion Infantil para mi es un placer trabajar con ustedes en equipo y de mi parte aportare en todo.
Estaremos en contacto para ver lo del trabajo.";Positivo
Compañero el trabajo esta bien pero nos falta hacer el trabajo y otra ocsa compañero que nos falta eligir la secretario (a);Negativo
muchas gracias compañero ya estoy haciendo mi trabajo para que tambien lo revisen asi saber sus opiniones..;Positivo
Sería importante poner en la portada algo que se relacione con el tema o con la asignatura.;Negativo
"Como les va compañeros
Favor procedamos a la eleccion del o la secretari@
Ideas para realizar la eleccion";Positivo
Mmmm no se haber como le hacemos;Positivo
Alguien se puede ofrecer seria mucho maa sencillo;Positivo
Ok gracias compa …;Positivo
Ok ccompañero gracias por la colaboracion .... ahora si mas manos a la obra;Positivo
la coevluacion y la autoevaluacion creo que deberíamos hacerlo al final del trabajo .... que les parece ???;Positivo
Junior K-lu ha subido un archivo.;Positivo
Ok compa …;Positivo
Lizbeth Chele ha subido un archivo.;Positivo
gracias compañero;Positivo
Si compa ...en la noche yo también voy a subir los pasos;Positivo
